id,name,region,pop,gdp
AFG,Afghanistan,Asia,38928341,19807067268
AGO,Angola,Africa,32866268,62306913444
ALB,Albania,Europe,2837743,14799615097
AND,Andorra,Europe,77146,3155065488
ARE,United Arab Emirates,Asia,9770526,421142267937
ARG,Argentina,America,45376763,383066977654
ARM,Armenia,Asia,2963234,12645459214
ATA,Antarctica,Antarctica,,
ATG,Antigua and Barbuda,America,97928,1415059259
AUS,Australia,Oceania,25687041,1330900925057
AUT,Austria,Europe,8917205,430947393758
AZE,Azerbaijan,Asia,10110116,42607176471
BDI,Burundi,Africa,11890781,3258187233
BEL,Belgium,Europe,11555997,515332499628
BEN,Benin,Africa,12123198,15651545209
BFA,Burkina Faso,Africa,20903278,17369059295
BGD,Bangladesh,Asia,164689383,324239176765
BGR,Bulgaria,Europe,6927288,69105101090
BHR,Bahrain,Asia,1641164,38474521277
BHS,Bahamas,America,393248,11250000000
BIH,Bosnia and Herzegovina,Europe,3280815,19788422248
BLR,Belarus,Europe,9398861,60258239056
BLZ,Belize,America,397621,1763696119
BOL,Bolivia,America,11673029,36688861203
BRA,Brazil,America,212559409,1444733258972
BRB,Barbados,America,287371,4365500000
BRN,Brunei,Asia,437483,12016056665
BTN,Bhutan,Asia,771612,2409262838
BWA,Botswana,Africa,2351625,15781732826
CAF,Central African Republic,Africa,4829764,2303078338
CAN,Canada,America,38005238,1644037286481
CHE,Switzerland,Europe,8636896,752248045730
CHL,Chile,America,19116209,252940023046
CHN,China,Asia,1402112000,14722730697890
CIV,Ivory Coast,Africa,26378275,61348579465
CMR,Cameroon,Africa,26545864,39802147568
COD,Congo-Kinshasa,Africa,89561404,49868970641
COG,Congo-Brazzaville,Africa,5518092,10884686143
COL,Colombia,America,50882884,271346896626
COM,Comoros,Africa,869595,1219690025
CPV,Cape Verde,Africa,555988,1703698677
CRI,Costa Rica,America,5094114,61520669890
CUB,Cuba,America,11333484,103131000000
CYP,Cyprus,Asia,1207361,23804340377
CZE,Czechia,Europe,10698896,245349489988
DEU,Germany,Europe,83240525,3846413928654
DJI,Djibouti,Africa,988002,3384404260
DMA,Dominica,America,71991,469870370
DNK,Denmark,Europe,5831404,356084867686
DOM,Dominican Republic,America,10847904,78844702329
DZA,Algeria,Africa,43851043,145163902228
ECU,Ecuador,America,17643060,98808010000
EGY,Egypt,Africa,102334403,363069245165
ERI,Eritrea,Africa,3213969,2065001626
ESP,Spain,Europe,47351567,1281484640044
EST,Estonia,Europe,1331057,30650285472
ETH,Ethiopia,Africa,114963583,107645054312
FIN,Finland,Europe,5530719,269751312854
FJI,Fiji,Oceania,896444,4376014756
FLK,Falkland Islands,America,,
FRA,France,Europe,67391582,2630317731455
FRO,Faeroe Islands,Europe,48677,3126293220
FSM,Micronesia,Oceania,113811,408060600
GAB,Gabon,Africa,2225728,15593181271
GBR,United Kingdom,Europe,67215293,2707743777174
GEO,Georgia,Asia,3714000,15891688903
GGY,Guernsey,Europe,,
GHA,Ghana,Africa,31072945,72354428865
GIN,Guinea,Africa,13132792,15681050917
GMB,The Gambia,Africa,2416664,1901930158
GNB,Guinea-Bissau,Africa,1967998,1431758243
GNQ,Equatorial Guinea,Africa,1402985,10021856754
GRC,Greece,Europe,10715549,189410106620
GRD,Grenada,America,112519,1089203704
GRL,Greenland,America,56023,3051626390
GTM,Guatemala,America,16858333,77604632171
GUY,Guyana,America,786559,5471256595
HKG,Hong Kong,Asia,7481800,346585881504
HND,Honduras,America,9904608,23827840810
HRV,Croatia,Europe,4047200,55966581780
HTI,Haiti,America,11402533,13417997065
HUN,Hungary,Europe,9749763,155012927629
IDN,Indonesia,Asia,273523621,1058423838345
IMN,Isle of Man,Europe,84073,7491969313
IND,India,Asia,1380004385,2622983732006
IRL,Ireland,Europe,4994724,425888950992
IRN,Iran,Asia,83992953,191718271484
IRQ,Iraq,Asia,40222503,167224432560
ISL,Iceland,Europe,366425,21718075725
ISR,Israel,Asia,9216900,401953767073
ITA,Italy,Europe,59554023,1886445268341
JAM,Jamaica,America,2961161,13812421803
JEY,Jersey,Europe,,
JOR,Jordan,Asia,10203140,43697659275
JPN,Japan,Asia,125836021,4975415241563
KAZ,Kazakhstan,Asia,18754440,169835426427
KEN,Kenya,Africa,53771300,98842939649
KGZ,Kyrgyzstan,Asia,6591600,7735976613
KHM,Cambodia,Asia,16718971,25291251427
KIR,Kiribati,Oceania,119446,199573326
KNA,Saint Kitts and Nevis,America,53192,927451852
KOR,South Korea,Asia,51780579,1630525005469
KOS,Kosovo,Europe,1775378,7611402165
KWT,Kuwait,Asia,4207077,136196760181
LAO,Laos,Asia,7275556,19136194849
